# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
1.9000   51.246770   45.317679   3.435551   100.000000
1.9100   51.066775   45.465926   3.467300   100.000000
1.9200   50.887411   45.613437   3.499152   100.000000
1.9300   50.708678   45.760215   3.531107   100.000000
1.9400   50.530572   45.906263   3.563165   100.000000
1.9500   50.353092   46.051583   3.595325   100.000000
1.9600   50.176236   46.196179   3.627586   100.000000
1.9700   50.000000   46.340052   3.659948   100.000000
1.9800   49.824383   46.483207   3.692410   100.000000
1.9900   49.649384   46.625644   3.724972   100.000000
2.0000   49.474999   46.767368   3.757634   100.000000
2.0100   49.301226   46.908380   3.790394   100.000000
2.0200   49.128064   47.048683   3.823253   100.000000
2.0300   48.955510   47.188281   3.856210   100.000000
2.0400   48.783562   47.327174   3.889264   100.000000
2.0500   48.612218   47.465367   3.922415   100.000000
2.0600   48.441476   47.602862   3.955662   100.000000
2.0700   48.271333   47.739661   3.989005   100.000000
2.0800   48.101788   47.875768   4.022444   100.000000
2.0900   47.932839   48.011183   4.055978   100.000000
2.1000   47.764483   48.145911   4.089606   100.000000
2.1100   47.596718   48.279953   4.123328   100.000000
2.1200   47.429543   48.413313   4.157144   100.000000
2.1300   47.262955   48.545993   4.191053   100.000000
2.1400   47.096951   48.677994   4.225054   100.000000
2.1500   46.931531   48.809321   4.259147   100.000000
2.1600   46.766692   48.939975   4.293333   100.000000
2.1700   46.602432   49.069959   4.327609   100.000000
2.1800   46.438749   49.199275   4.361976   100.000000
2.1900   46.275641   49.327927   4.396433   100.000000
2.2000   46.113105   49.455915   4.430979   100.000000
2.2100   45.951141   49.583243   4.465616   100.000000
2.2200   45.789745   49.709914   4.500341   100.000000
2.2300   45.628917   49.835930   4.535154   100.000000
2.2400   45.468653   49.961292   4.570055   100.000000
2.2500   45.308952   50.086004   4.605044   100.000000
2.2600   45.149812   50.210069   4.640119   100.000000
2.2700   44.991231   50.333488   4.675282   100.000000
2.2800   44.833207   50.456263   4.710530   100.000000
2.2900   44.675738   50.578398   4.745864   100.000000
2.3000   44.518822   50.699895   4.781283   100.000000
2.3100   44.362457   50.820756   4.816787   100.000000
2.3200   44.206641   50.940983   4.852375   100.000000
2.3300   44.051373   51.060580   4.888048   100.000000
2.3400   43.896650   51.179547   4.923803   100.000000
2.3500   43.742470   51.297888   4.959642   100.000000
2.3600   43.588832   51.415605   4.995563   100.000000
2.3700   43.435734   51.532700   5.031566   100.000000
2.3800   43.283173   51.649176   5.067651   100.000000
2.3900   43.131148   51.765035   5.103817   100.000000
2.4000   42.979657   51.880279   5.140064   100.000000
2.4100   42.828699   51.994910   5.176391   100.000000
2.4200   42.678270   52.108931   5.212799   100.000000
2.4300   42.528370   52.222344   5.249286   100.000000
2.4400   42.378996   52.335152   5.285852   100.000000
2.4500   42.230147   52.447357   5.322496   100.000000
2.4600   42.081821   52.558960   5.359219   100.000000
2.4700   41.934016   52.669964   5.396020   100.000000
